Ticker,Tanggal,Total_Berita,Avg_Prob_Positif,Avg_Prob_Netral,Avg_Prob_Negatif,Skor_Sentimen_Final
HRTA,2026-06-06,1,0.0029866905421022352,0.99646891729479,0.000544392163107747,0.0050555975079179145
HRTA,2026-06-05,1,0.0022570380412828364,0.9973307408811114,0.00041222107760577667,0.003818801226068981
HRTA,2026-06-04,6,0.013166027368504968,0.9853242966776501,0.0015096759538450624,0.024128837684293067
HRTA,2026-06-03,19,0.007889588153478294,0.9915489569985746,0.0005614548479472054,0.015169355552856817
HRTA,2026-06-01,1,0.013553456358732943,0.985439484219182,0.0010070594220849913,0.025971246442206105
HRTA,2026-05-29,1,0.0013671871297788124,0.998081566588043,0.000551246282178102,0.0016890108723885337
HRTA,2026-05-28,1,0.001736694056616082,0.9978137775399856,0.0004495284033983815,0.002664453911386569
HRTA,2026-05-27,2,0.014063465979908879,0.4887850897805524,0.4971514442395387,-1.0
HRTA,2026-05-26,1,0.005493532311043874,0.9939110117094193,0.0005954559795367721,0.01013909795303308
HRTA,2026-05-21,1,0.0017312397668495432,0.9978153276382057,0.00045343259494479935,0.0026450817023188303
HRTA,2026-05-19,1,0.0030674259678273967,0.9833546441129467,0.013577929919225884,-0.021756914732723367
HRTA,2026-05-17,1,0.18406330105821572,0.8151482368821078,0.0007884620596764428,0.3793819081542957
HRTA,2026-05-16,1,0.006034613023760871,0.9924765834652038,0.001488803511035284,0.009409899888426734
HRTA,2026-05-15,2,0.0012492444853035834,0.9840606375997919,0.014690117914904523,-0.027822827382339252
HRTA,2026-05-08,4,0.007416774124290582,0.9913733703289024,0.001209855546807069,0.012848422765237347
