Ticker,Tanggal,Total_Berita,Avg_Prob_Positif,Avg_Prob_Netral,Avg_Prob_Negatif,Skor_Sentimen_Final
AMMN,2026-05-30,1,0.009099555625559558,0.9838816385661083,0.007018805808332088,0.030083347861145214
AMMN,2026-05-26,1,0.0028342952111958483,0.9966106833349963,0.0005550214538078594,0.03295359429883176
AMMN,2026-05-25,3,0.02417932785667778,0.973636141902073,0.0021845302412491345,0.31799937807135803
AMMN,2026-05-21,1,0.005744482361157748,0.9922567555146179,0.0019987621242243876,0.054155383768503706
AMMN,2026-05-19,4,0.0016840245081998482,0.9968352789323398,0.0014806965594603837,0.002939702486660711
AMMN,2026-05-18,5,0.0010572357401184588,0.9945519975731638,0.004390766686717757,-0.048195977354963414
AMMN,2026-05-17,1,0.004249722320231378,0.9847036210408727,0.011046656638895883,-0.09826964193619198
AMMN,2026-05-16,3,0.0030591558157838997,0.9964370414209713,0.000503802763244699,0.036945131101829225
AMMN,2026-05-13,4,0.001550961379586157,0.9970140831384712,0.0014349554819426632,0.001677205853322498
AMMN,2026-05-12,3,0.0016723926231846428,0.9970165578336159,0.0013110495431995024,0.005224275154278306
AMMN,2026-05-11,1,0.0012605267953526207,0.9283127809003386,0.07042669230430869,-1.0
AMMN,2026-05-08,4,0.0025908789410656282,0.9967314439511087,0.0006776771078256625,0.0276609498179024
