Ticker,Tanggal,Total_Berita,Avg_Prob_Positif,Avg_Prob_Netral,Avg_Prob_Negatif,Skor_Sentimen_Final
PSAB,2026-06-07,1,0.02646567720554835,0.9724833545865728,0.0010509682078788803,1.0
PSAB,2026-06-06,2,0.0018908128143620027,0.9972411324414274,0.0008680547442105203,0.04024276139637363
PSAB,2026-06-05,10,0.017672149713626396,0.9802078813419315,0.0021199689444419702,0.6119362126322423
PSAB,2026-06-04,1,0.0014836822475103172,0.9976949456943115,0.000821372058178148,0.026060113038984752
PSAB,2026-06-03,6,0.0018260790862577537,0.9972100969359471,0.0009638239777951236,0.03392740434453525
PSAB,2026-06-02,6,0.004582400208930671,0.9943999780019437,0.0010176217891257036,0.1402643807620169
PSAB,2026-05-29,1,0.0011063402546100233,0.9976797094811768,0.0012139502642131309,-0.004234162571484701
PSAB,2026-05-28,1,0.008874801347082349,0.990312020367545,0.0008131782853726813,0.3172030442075461
PSAB,2026-05-26,1,0.0017438448447736669,0.9967652662554882,0.0014908888997380986,0.00995313167106357
PSAB,2026-05-24,1,0.002835846251439553,0.9950538797218403,0.0021102740267200763,0.028549302877558497
PSAB,2026-05-22,4,0.0017289611256094115,0.9972197959094086,0.0010512429649820207,0.02666637499919978
PSAB,2026-05-19,1,0.001965495054118377,0.9974224541287398,0.0006120508171418747,0.05325436687473436
PSAB,2026-05-16,1,0.004044547872670437,0.9953597715544946,0.0005956805728349359,0.1357035919691924
PSAB,2026-05-14,1,0.0020274428630185745,0.9969684242532245,0.00100413288375696,0.04026447752580807
PSAB,2026-05-12,2,0.002052622585552677,0.9965874099092447,0.00135996750520263,0.027254102355197676
PSAB,2026-05-11,1,0.0019342368320026866,0.9974875373493208,0.000578225818676536,0.05335536257568391
PSAB,2026-05-08,1,0.001338267238208157,0.9946121014453921,0.004049631316399691,-0.1066848366605404
