Ticker,Tanggal,Total_Berita,Avg_Prob_Positif,Avg_Prob_Netral,Avg_Prob_Negatif,Skor_Sentimen_Final
ARCI,2026-05-30,1,0.0016333185897937877,0.9978856340677835,0.0004810473424227122,0.11469788800249359
ARCI,2026-05-29,3,0.001917019240328675,0.9861198197164002,0.01196316104327124,-1.0
ARCI,2026-05-26,2,0.0034043427852478293,0.9961110431454062,0.00048461406934592876,0.29063184386335233
ARCI,2026-05-25,1,0.0015927737273943052,0.9979312520672725,0.0004759742053331298,0.1111670075903228
ARCI,2026-05-14,1,0.0017396282966079528,0.9978062698959917,0.0004541018074003535,0.1279622082211762
ARCI,2026-05-13,4,0.003113686117165804,0.9960292256010473,0.0008570882817868961,0.22462333099040457
ARCI,2026-05-12,5,0.002757788370355194,0.9968099665579693,0.00043224507167567103,0.23148621075589035
ARCI,2026-05-11,1,0.0012056066169312115,0.9920233471914746,0.006771046191594255,-0.5539877580697595
ARCI,2026-05-10,1,0.0036227725008445752,0.9958768794646053,0.0005003480345501206,0.3108083209993991
ARCI,2026-05-08,9,0.004905088866731684,0.9945281033799158,0.0005668077533524906,0.43183554427914694
