Ticker,Tanggal,Total_Berita,Avg_Prob_Positif,Avg_Prob_Netral,Avg_Prob_Negatif,Skor_Sentimen_Final
BRMS,2026-05-21,2,0.01432382904494604,0.5747134661389824,0.4109627048160715,-0.4030286885247499
BRMS,2026-05-20,4,0.0017461525439704713,0.9968812160710905,0.0013726313849390318,0.0003795385476726499
BRMS,2026-05-18,2,0.0019484801637756398,0.992550874266319,0.005500645569905296,-0.0036093904367597053
BRMS,2026-05-17,1,0.0017073619464770154,0.9971799473181038,0.001112690735419224,0.0006042513049939769
BRMS,2026-05-16,2,0.0022666509793267246,0.9971430805098344,0.0005902685108388781,0.0017033888229614738
BRMS,2026-05-13,2,0.002771442860615146,0.9965029912277259,0.0007255659116589758,0.002078835822680716
BRMS,2026-05-11,2,0.0015038737281453107,0.9638709395629685,0.034625186708886174,-0.03365489403148801
BRMS,2026-05-10,1,0.0059403917408703474,0.9934338429525816,0.0006257653065479885,0.005400244536442985
BRMS,2026-05-08,3,0.0033187678746274,0.9959577660564878,0.0007234660688848342,0.002637111859145923
BRMS,2026-05-07,1,0.001866505089250684,0.012121475955013795,0.9860120189557355,-1.0
BRMS,2026-05-05,3,0.014495341256365406,0.9841291620409088,0.0013754967027258752,0.013331203941675895
BRMS,2026-05-04,1,0.002893251733629448,0.9963292940567358,0.000777454209634807,0.0021498828112137113
BRMS,2026-05-01,1,0.004640347378602591,0.9947980758707512,0.0005615767506461665,0.004144479216220636
