Ticker,Tanggal,Total_Berita,Avg_Prob_Positif,Avg_Prob_Netral,Avg_Prob_Negatif,Skor_Sentimen_Final
UNTR,2026-05-30,1,0.0014078065965827473,0.9923931838538007,0.006199009549616598,-0.01961757806224743
UNTR,2026-05-26,2,0.003496894568725849,0.9960723359893848,0.0004307694418893027,0.012554247777428532
UNTR,2026-05-25,4,0.007873218890238846,0.9914363079621942,0.0006904731475669407,0.029409748802003196
UNTR,2026-05-22,1,0.004652105474771993,0.9948902564164163,0.0004576381088117931,0.017174244503495615
UNTR,2026-05-21,2,0.002701355543551058,0.996721286120534,0.0005773583359149792,0.008696705489883667
UNTR,2026-05-20,1,0.0026635105669491153,0.9965107843259697,0.0008257051070811282,0.0075248935237350704
UNTR,2026-05-18,3,0.0022092576018441076,0.9950898119593516,0.0027009304388042627,-0.0020131541816747474
UNTR,2026-05-15,2,0.0016507117772096968,0.9976527477331227,0.0006965404896675163,0.003906853853114498
UNTR,2026-05-13,6,0.0017409517893166087,0.9967560445317143,0.001503003678969093,0.0009742784171876587
UNTR,2026-05-12,1,0.0013437845638858427,0.9970948272455004,0.0015613881906137465,-0.0008909779393210026
UNTR,2026-05-11,4,0.24623360285451573,0.7517628892512718,0.002003507894212484,1.0
UNTR,2026-05-10,1,0.0036072535864206147,0.9958674381922601,0.0005253082213193087,0.012619023734983359
UNTR,2026-05-08,2,0.0012923378593830634,0.9968171581916544,0.0018905039489625847,-0.0024491907505368913
